pmid,title,journal,date
24934855,"Occurrences, toxicities, and ecological risks of benzophenone-3, a common component of organic sunscreen products: a mini-review",Environ Int,2014/06/18
24767315,"Detection of 34 plasticizers and 25 flame retardants in indoor air from houses in Sapporo, Japan",Sci Total Environ,2014/04/29
23954424,"Proteomic and metabolomic analysis of earthworm Eisenia fetida exposed to different concentrations of 2,2',4,4'-tetrabromodiphenyl ether",J Proteomics,2013/08/20
23303685,Targeted genome-wide methylation and gene expression analyses reveal signaling pathways involved in ovarian dysfunction after developmental EDC exposure in rats,Biol Reprod,2013/01/11
22050967,Biomonitoring of bisphenol A concentrations in maternal and umbilical cord blood in regard to birth outcomes and adipokine expression: a birth cohort study in Taiwan,Environ Health,2011/11/05
21914226,miRNA regulation of cytotoxic effects in mouse Sertoli cells exposed to nonylphenol,Reprod Biol Endocrinol,2011/09/15
21554883,Neonatal agonism of ERβ impairs male reproductive behavior and attractiveness,Horm Behav,2011/05/11
21362481,Ontogenetic expression and 17β-estradiol regulation of immune-related genes in early life stages of Japanese medaka (Oryzias latipes),Fish Shellfish Immunol,2011/03/03
21310402,Uterine leiomyomata in a cohort of Great Lakes sport fish consumers,Environ Res,2011/02/12
20565079,Designing green oxidation catalysts for purifying environmental waters,J Am Chem Soc,2010/06/23
19839653,Multigenerational exposure of the estuarine sheepshead minnow (Cyprinodon variegatus) to 17 β-estradiol. I. organism-level effects over three generations,Environ Toxicol Chem,2009/10/21
19689815,Urogenital abnormalities in men exposed to diethylstilbestrol in utero: a cohort study,Environ Health,2009/08/20
19380459,"Thyroid hormone regulation of mRNAs encoding thyrotropin beta-subunit, glycoprotein alpha-subunit, and thyroid hormone receptors alpha and beta in brain, pituitary gland, liver, and gonads of an adult teleost, Pimephales promelas",J Endocrinol,2009/04/22
18508178,"The effect of vitamin C on bisphenol A, nonylphenol and octylphenol induced brain damages of male rats",Toxicology,2008/05/30
17560667,The copepod Tigriopus: a promising marine model organism for ecotoxicology and environmental genomics,Aquat Toxicol,2007/06/15
16152966,Induction of vitellogenin mRNA in juvenile Chinese sturgeon (Acipenser sinensis Gray) treated with 17beta-estradiol and 4-nonylphenol,Environ Toxicol Chem,2005/09/13
15626604,"Automated Water Analyser Computer Supported System (AWACSS) Part II: Intelligent, remote-controlled, cost-effective, on-line, water-monitoring measurement system",Biosens Bioelectron,2005/01/01
12973368,Historical reconstruction of wastewater and land use impacts to groundwater used for public drinking water: exposure assessment using chemical data and GIS,J Expo Anal Environ Epidemiol,2003/09/16
12888444,Molecular markers of endocrine disruption in aquatic organisms,J Toxicol Environ Health B Crit Rev,2003/07/31
12770741,"Effect of IGF-1 and 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) on the expression of LH receptors during cell differentiation in cultured granulosa cells",Mol Cell Endocrinol,2003/05/29
12642156,"Effects of single non-ortho, mono-ortho, and di-ortho chlorinated biphenyls on cell functions and proliferation of the human prostatic carcinoma cell line, LNCaP",Reprod Toxicol,2003/03/19
