pmid,title,journal,date
25222330,Changes in hormone and stress-inducing activities of municipal wastewater in a conventional activated sludge wastewater treatment plant,Water Res,2014/09/16
25106109,Recovery from developmental nonylphenol exposure is possible for female rats,Chem Biol Interact,2014/08/10
25047080,The evolutionary consequences of disrupted male mating signals: an agent-based modelling exploration of endocrine disrupting chemicals in the guppy,PLoS One,2014/07/23
25047013,Identification of mechanisms of action of bisphenol a-induced human preadipocyte differentiation by transcriptional profiling,Obesity (Silver Spring),2014/07/23
25038724,"Molecular characterization of PXR and two sulfotransferases and hepatic transcripts of PXR, two sulfotransferases and CYP3A responsive to bisphenol A in rare minnow Gobiocypris rarus",Mol Biol Rep,2014/07/21
25019461,Additive and synergistic antiandrogenic activities of mixtures of azol fungicides and vinclozolin,Toxicol Appl Pharmacol,2014/07/15
24811950,The adverse cardiac effects of Di(2-ethylhexyl)phthalate and Bisphenol A,Cardiovasc Toxicol,2014/05/10
24810975,Influence of bioselector processes on 17α-ethinylestradiol biodegradation in activated sludge wastewater treatment systems,Environ Sci Technol,2014/05/10
24726194,Effects of phthalates on the development and expression of allergic disease and asthma,Ann Allergy Asthma Immunol,2014/04/15
24664360,Association between serum levels of adiponectin and polychlorinated biphenyls in Korean men and women,Endocrine,2014/03/26
24427296,Expression of obesity markers and Persistent Organic Pollutants levels in adipose tissue of obese patients: reinforcing the obesogen hypothesis?,PLoS One,2014/01/16
24375479,"An inter-laboratory study on the variability in measured concentrations of 17β-estradiol, testosterone, and 11-ketotestosterone in white sucker: implications and recommendations",Environ Toxicol Chem,2013/12/31
23922038,"Chronic exposure to benzyl butyl phthalate (BBP) alters social interaction and fear conditioning in male adult rats: alterations in amygdalar MeCP2, ERK1/2 and ERα",Neuro Endocrinol Lett,2013/08/08
23907094,Androgen receptor activation by polychlorinated biphenyls: epigenetic effects mediated by the histone demethylase Jarid1b,Epigenetics,2013/08/03
23859600,Determination and characterization of oxy-naphthenic acids in oilfield wastewater,Environ Sci Technol,2013/07/18
23850073,"Sex-different effects of tributyltin on brain aromatase, estrogen receptor and retinoid X receptor gene expression in rockfish (Sebastiscus marmoratus)",Mar Environ Res,2013/07/16
23616146,Corticosteroid production in H295R cells during exposure to 3 endocrine disrupters analyzed with LC-MS/MS,Int J Toxicol,2013/04/26
23401061,Cross-species conservation of endocrine pathways: a critical analysis of tier 1 fish and rat screening assays with 12 model chemicals,Environ Toxicol Chem,2013/02/13
23226835,Prevalent glucocorticoid and androgen activity in US water sources,Sci Rep,2012/12/11
23226289,Degradation of 3-phenoxybenzoic acid by a Bacillus sp,PLoS One,2012/12/11
22987602,Annual and seasonal evaluation of reproductive status in hornyhead turbot at municipal wastewater outfalls in the Southern California Bight,Environ Toxicol Chem,2012/09/19
22967521,"Application of three phase hollow fiber based liquid phase microextraction (HF-LPME) for the simultaneous HPLC determination of phenol substituting compounds (alkyl-, chloro- and nitrophenols)",Talanta,2012/09/13
22742731,"Occurrence of triclosan, triclocarban, and its lesser chlorinated congeners in Minnesota freshwater sediments collected near wastewater treatment plants",J Hazard Mater,2012/06/30
22659293,The intersection of neurotoxicology and endocrine disruption,Neurotoxicology,2012/06/05
22571523,Comparison of different wastewater treatments for removal of selected endocrine-disruptors from paper mill wastewaters,J Environ Sci Health A Tox Hazard Subst Environ Eng,2012/05/11
22563546,Tributyltin increases the expression of apoptosis- and adipogenesis-related genes in rat ovaries,Clin Exp Reprod Med,2012/05/08
22446829,Endocrine disruption potentials of organophosphate flame retardants and related mechanisms in H295R and MVLN cell lines and in zebrafish,Aquat Toxicol,2012/03/27
22436342,Effect of water composition on TiO2 photocatalytic removal of endocrine disrupting compounds (EDCs) and estrogenic activity from secondary effluent,J Hazard Mater,2012/03/23
22421800,Effect directed analysis and mixture effects of estrogenic compounds in a sediment of the river Elbe,Environ Sci Pollut Res Int,2012/03/17
22311549,"Decabromobiphenyl, polybrominated diphenyl ethers, and brominated phenolic compounds in serum of cats diagnosed with the endocrine disease feline hyperthyroidism",Arch Environ Contam Toxicol,2012/02/08
21664488,Cloning of estrogen receptor alpha and aromatase cDNAs and gene expression in turtles (Chrysemys picta and Pseudemys scripta) exposed to different environments,Comp Biochem Physiol C Toxicol Pharmacol,2011/06/14
21528888,Global trends and diversity in pentachlorophenol levels in the environment and in humans: a meta-analysis,Environ Sci Technol,2011/05/03
21479784,Acute toxicity of nonylphenols and bisphenol A to the embryonic development of the abalone Haliotis diversicolor supertexta,Ecotoxicology,2011/04/12
21474148,Endocrine disruptors as a threat to neurological function,J Neurol Sci,2011/04/09
21130156,"Preterm birth, fetal growth, and age at menarche among women exposed prenatally to diethylstilbestrol (DES)",Reprod Toxicol,2010/12/07
21086553,Relationships between the transcriptome and physiological indicators of reproduction in female rainbow trout over an annual cycle,Environ Toxicol Chem,2010/11/19
21081300,Many putative endocrine disruptors inhibit prostaglandin synthesis,Environ Health Perspect,2010/11/18
20830510,Endocrine disruptors provoke differential modulatory responses on androgen receptor and pregnane and xenobiotic receptor: potential implications in metabolic disorders,Mol Cell Biochem,2010/09/11
20822678,"Correlations between phthalate metabolites in urine, serum, and seminal plasma from young Danish men determined by isotope dilution liquid chromatography tandem mass spectrometry",J Anal Toxicol,2010/09/09
20821463,Pulp and paper mill effluents induce distinct gene expression changes linked to androgenic and estrogenic responses in the fathead minnow (Pimephales promelas),Environ Toxicol Chem,2010/09/08
20821446,Fate of trace organic compounds during vadose zone soil treatment in an onsite wastewater system,Environ Toxicol Chem,2010/09/08
20388554,"Evaluation of 4-nonylphenol in vivo exposure in Dreissena polymorpha: Bioaccumulation, steroid levels and oxidative stress",Comp Biochem Physiol C Toxicol Pharmacol,2010/04/15
20227414,An integrated transcriptomic and proteomic approach characterizing estrogenic and metabolic effects of 17 alpha-ethinylestradiol in zebrafish (Danio rerio),Gen Comp Endocrinol,2010/03/16
20181390,"Effects of tributyltin on salmon interrenal CYP11β, steroidogenic factor-1 and glucocorticoid receptor transcripts in the presence and absence of second messenger activator, forskolin",Mar Environ Res,2010/02/26
19898982,"Effects of bisphenol A in the ring-legged earwig, Euborellia annulipes",Ecotoxicology,2009/11/10
19780864,Country-specific chemical signatures of persistent environmental compounds in breast milk,Int J Androl,2009/09/29
19621129,Genistein affects the morphology of pituitary ACTH cells and decreases circulating levels of ACTH and corticosterone in middle-aged male rats,Biol Res,2009/07/22
19520416,PAEs and BPA removal in landfill leachate with Fenton process and its relationship with leachate DOM composition,Sci Total Environ,2009/06/13
18841499,Development of magnetic particle-based chemiluminescence enzyme immunoassay for the detection of 17beta-estradiol in environmental water,Appl Biochem Biotechnol,2008/10/09
18692564,Effects of a low oral dose of diethylstilbestrol (DES) on reproductive tract development in F1 female CD-1 mice,Reprod Toxicol,2008/08/12
18248853,"Modulatory effect of environmental endocrine disruptors on N-ras oncogene expression in the hermaphroditic fish, Kryptolebias marmoratus",Comp Biochem Physiol C Toxicol Pharmacol,2008/02/06
17296224,Metabolism and biochemical pathway of n-butyl benzyl phthalate by Pseudomonas fluorescens B-1 isolated from a mangrove sediment,Ecotoxicol Environ Saf,2007/02/14
17123754,Differential effects of cadmium on the gene expression of seven-transmembrane-spanning receptors and GAPDH in the rat testis,Toxicol Lett,2006/11/25
16832227,Adipose tissue concentrations of persistent organic pollutants and the risk of prostate cancer,J Occup Environ Med,2006/07/13
16641544,"A two-generation reproductive toxicity study of 2,4-dichlorophenol in rats",J Toxicol Sci,2006/04/28
16403223,Public awareness of risk factors for cancer among the Japanese general population: a population-based survey,BMC Public Health,2006/01/13
16198671,Effects of dietary exposure of 4-nonylphenol on growth and smoltification of juvenile coho salmon (Oncorhynchus kisutch),Sci Total Environ,2005/10/04
16005607,Behavioral and endocrine changes induced by perinatal fenvalerate exposure in female rats,Neurotoxicol Teratol,2005/07/12
15683169,Quantitative bio-imaging analysis for evaluation of sexual differentiation in germ cells of olvas-GFP/ST-II YI medaka (Oryzias latipes) nanoinjected in ovo with ethinylestradiol,Environ Toxicol Chem,2005/02/03
15588936,Marijuana extracts possess the effects like the endocrine disrupting chemicals,Toxicology,2004/12/14
15579420,Long-term exposure to environmental concentrations of the pharmaceutical ethynylestradiol causes reproductive failure in fish,Environ Health Perspect,2004/12/08
15378981,Occurrence and fate of pharmaceuticals and alkylphenol ethoxylate metabolites in an effluent-dominated river and wetland,Environ Toxicol Chem,2004/09/24
15180382,Testosterone and energy metabolism in the estuarine mysid Neomysis integer (Crustacea: Mysidacea) following exposure to endocrine disruptors,Environ Toxicol Chem,2004/06/08
15081271,First evidence of endocrine disruption in feral carp from the Ebro River,Toxicol Appl Pharmacol,2004/04/15
12657488,"Vitellogenin detection in surface mucus of the South American cichlid fish Cichlasoma dimerus (Heckel, 1840) induced by estradiol-17beta. Effects on liver and gonads",Aquat Toxicol,2003/03/27
12568385,Methods for selective determination of persistent organochlorine pesticide residues in water and sediments by capillary gas chromatography and electron-capture detection,J Chromatogr A,2003/02/06
12398362,Cell bioassays for detection of aryl hydrocarbon (AhR) and estrogen receptor (ER) mediated activity in environmental samples,Mar Pollut Bull,2002/10/26
12200092,Exposure to exogenous 17beta-oestradiol disrupts p450aromB mRNA expression in the brain and gonad of adult fathead minnows (Pimephales promelas),Aquat Toxicol,2002/08/30
11880762,Growth in girls exposed in utero and postnatally to polybrominated biphenyls and polychlorinated biphenyls,Epidemiology,2002/03/07
11713000,The fate of trenbolone acetate and melengestrol acetate after application as growth promoters in cattle: environmental studies,Environ Health Perspect,2001/11/20
11280982,Bench-scale studies on the simultaneous formation of PCBs and PCDD/Fs from combustion systems,Waste Manag,2001/04/03
10825674,Assessment of estrogenicity by using the delayed implanting rat model and examples,Reprod Toxicol,2000/05/29
36546709,Thyroid-on-a-chip: An Organoid Platform For In Vitro Assessment of Endocrine Disruption,Adv Healthc Mater,2022/12/22
36498100,Potential Adsorption Affinity of Estrogens on LDPE and PET Microplastics Exposed to Wastewater Treatment Plant Effluents,Int J Environ Res Public Health,2022/12/11
36427668,Effects of single and combined exposure to zinc and two tetracycline antibiotics on zebrafish at the early stage,Comp Biochem Physiol C Toxicol Pharmacol,2022/11/25
35625608,Obesogens in Foods,Biomolecules,2022/05/28
33852726,Advancements in Microfluidic Systems for the Study of Female Reproductive Biology,Endocrinology,2021/04/14
33105405,Menstrual Cycle Patterns and Irregularities in Hired Latinx Child Farmworkers,J Occup Environ Med,2020/10/26
36419408,A Vault-Encapsulated Enzyme Approach for Efficient Degradation and Detoxification of Bisphenol A and Its Analogues,ACS Sustain Chem Eng,2022/11/24
36217258,Bioremediation of bisphenol A found in industrial wastewater using Trametes versicolor (TV) laccase nanoemulsion-based bead organogel in packed bed reactor,Water Environ Res,2022/10/11
36063929,Use of GAL4 factor-based yeast assay to quantify the effects of xenobiotics on RXR homodimer and RXR/PPAR heterodimer in scallop Chlamys farreri,Sci Total Environ,2022/09/05
35897858,A Cheminformatics Study Regarding the Human Health Risks Assessment of the Stereoisomers of Difenoconazole,Molecules,2022/07/28
35633278,Design and fabrication of electrochemical sensor based on molecularly imprinted polymer loaded onto silver nanoparticles for the detection of 17-β-estradiol,J Mol Recognit,2022/05/28
35573988,Brief Developmental Exposure to Fluoxetine Causes Life-Long Alteration of the Brain Transcriptome in Zebrafish,Front Endocrinol (Lausanne),2022/05/16
35304212,Silica-catalyzed ozonation of 17α -ethinyl-estradiol in aqueous media-to better understand the role of silica in soils,Chemosphere,2022/03/19
35065139,"Exposure to an androgenic agricultural pollutant does not alter metabolic rate, behaviour, or morphology of tadpoles",Environ Pollut,2022/01/22
34953850,Contaminants of emerging concerns in recycled water: Fate and risks in agroecosystems,Sci Total Environ,2021/12/26
34756986,"Phenanthrene disrupting effects on the thyroid system of Arabian seabream, Acanthopagrus arabicus: In situ and in vivo study",Comp Biochem Physiol C Toxicol Pharmacol,2021/11/10
34426321,"Occurrence, environmental fate, ecological issues, and redefining of endocrine disruptive estrogens in water resources",Sci Total Environ,2021/08/24
34426267,"A critical review on ibuprofen removal from synthetic waters, natural waters, and real wastewaters by advanced oxidation processes",Chemosphere,2021/08/24
34300152,Intrauterine Exposures and Maternal Health Status during Pregnancy in Relation to Later Child Health: A Review of Pregnancy Cohort Studies in Europe,Int J Environ Res Public Health,2021/07/24
34265613,"Prediction of chemical reproductive toxicity to aquatic species using a machine learning model: An application in an ecological risk assessment of the Yangtze River, China",Sci Total Environ,2021/07/15
34246717,Glyphosate-based herbicides: Evidence of immune-endocrine alteration,Toxicology,2021/07/11
34228631,REPRODUCTIVE TOXICOLOGY: Impact of endocrine disruptors on neurons expressing GnRH or kisspeptin and pituitary gonadotropins,Reproduction,2021/07/06
34225110,Role of cerium oxide nanoparticles in improving oxidative stress and developmental delays in Drosophila melanogaster as an in-vivo model for bisphenol a toxicity,Chemosphere,2021/07/05
34119654,Bisphenol A affects the pulse rate of Lumbriculus variegatus via an estrogenic mechanism,Comp Biochem Physiol C Toxicol Pharmacol,2021/06/13
34000540,"Pollution characteristics and mixture risk prediction of phenolic environmental estrogens in rivers of the Beijing-Tianjin-Hebei urban agglomeration, China",Sci Total Environ,2021/05/17
33845434,"A simple, rapid and sensitive method for the simultaneous determination of eighteen environmental phenols in human urine",Chemosphere,2021/04/12
33801667,"Bisphenol A and Metabolites in Meat and Meat Products: Occurrence, Toxicity, and Recent Development in Analytical Methods",Foods,2021/04/03
33801606,The ED/TEG Indicator for the Identification of Endocrine Disrupting or Toxic Effects on Endocrine Glands of Crop Protection Products Used in Organic and Conventional Agriculture in France,Int J Environ Res Public Health,2021/04/03
33770608,Bioelectrochemical systems for environmental remediation of estrogens: A review and way forward,Sci Total Environ,2021/03/26
33572727,A Genetically Encoded Bioluminescence Intracellular Nanosensor for Androgen Receptor Activation Monitoring in 3D Cell Models,Sensors (Basel),2021/02/12
33545592,"Determination of bisphenols, parabens, and benzophenones in placenta by dispersive liquid-liquid microextraction and gas chromatography-tandem mass spectrometry",Chemosphere,2021/02/05
33454488,"Seasonal distribution and ecological risks of phthalic acid esters in surface water of Taihu Lake, China",Sci Total Environ,2021/01/17
33396100,Insights into total estrogenic activity in a sewage-impacted urban stream assessed via ER transcriptional activation assay: Distribution between particulate and dissolved phases,Ecotoxicol Environ Saf,2021/01/05
33034330,Natural estrogens in surface waters of a catchment with intensive livestock farming in Switzerland,Environ Sci Process Impacts,2020/10/09
32971505,Design of a ratiometric fluorescence sensor based on metal organic frameworks and Ru(bpy)(3)(2+)-doped silica composites for 17β-Estradiol detection,J Colloid Interface Sci,2020/09/24
32965630,Nonfunctional adrenal incidentalomas may be related to bisphenol-A,Endocrine,2020/09/23
32367242,Molecular and biochemical responses of vitellogenin in the mussel Mytilus galloprovincialis exposed to the glyphosate-based herbicide Roundup® Power 2.0,Environ Sci Pollut Res Int,2020/05/06
32208804,Molecular interactions of vinclozolin metabolites with human estrogen receptors 1GWR-α and 1QKM and androgen receptor 2AM9-β: Implication for endocrine disruption,Toxicol Mech Methods,2020/03/27
32198334,Treatment of Bisphenol A (BPA) in water using UV/H(2)O(2) and reverse osmosis (RO) membranes: assessment of estrogenic activity and membrane adsorption,Water Sci Technol,2020/03/22
32164371,Exposure to Dichlorodiphenyldichloroethylene (DDE) and Metallothionein Levels in Rats Fed with Normocaloric or High-Fat Diet: A Review,Int J Mol Sci,2020/03/14
32031044,"Substitution of bisphenol A: a review of the carcinogenicity, reproductive toxicity, and endocrine disruption potential of alternative substances",Crit Rev Toxicol,2020/02/08
31759064,The relationship of obesity with lifestyle and dietary exposure to endocrine-disrupting chemicals,Food Chem Toxicol,2019/11/24
31745802,Hepatoprotective effects of curcumin and taurine against bisphenol A-induced liver injury in rats,Environ Sci Pollut Res Int,2019/11/21
31565782,Perfluoroalkyl substances and bone health in young men: a pilot study,Endocrine,2019/10/01
31563099,"Dysregulation of endocrine disruption, apoptosis and the transgenerational toxicity induced by spirotetramat",Chemosphere,2019/09/29
31539991,Modelling BPA effects on three-spined stickleback population dynamics in mesocosms to improve the understanding of population effects,Sci Total Environ,2019/09/22
31442757,Occurrence and mass balance of sixty-two progestins in a municipal sewage treatment plant,Water Res,2019/08/24
31362658,Neuro-toxic and Reproductive Effects of BPA,Curr Neuropharmacol,2019/08/01
31234578,Bisphenol S Modulates Type 1 Diabetes Development in Non-Obese Diabetic (NOD) Mice with Diet- and Sex-Related Effects,Toxics,2019/06/26
31195281,"Fate of UV filter Ethylhexyl methoxycinnamate in rat model and human urine: Metabolism, exposure and demographic associations",Sci Total Environ,2019/06/14
31106075,Development of an in vitro diagnostic method to determine the genotypic sex of Xenopus laevis,PeerJ,2019/05/21
31086981,Quizalofop-p-Ethyl Induces Adipogenesis in 3T3-L1 Adipocytes,Toxicol Sci,2019/05/16
31085347,Chronic dietary administration of lower levels of diethyl phthalate induces murine testicular germ cell inflammation and sperm pathologies: Involvement of oxidative stress,Chemosphere,2019/05/16
30819569,"Soybean isoflavone affects in rabbits: Effects on metabolism, antioxidant capacity, hormonal balance and reproductive performance",Anim Reprod Sci,2019/03/02
30817981,"Low-dose environmental endocrine disruptors, increase aromatase activity, estradiol biosynthesis and cell proliferation in human breast cells",Mol Cell Endocrinol,2019/03/01
30742424,Non-Polyamide Based Nanofiltration Membranes Using Green Metal-Organic Coordination Complexes: Implications for the Removal of Trace Organic Contaminants,Environ Sci Technol,2019/02/12
30684898,Dynamics of microbial community in the bioreactor for bisphenol S removal,Sci Total Environ,2019/01/27
30634153,Assessment of estrogenic compounds in paperboard for dry food packaging with the ERE-CALUX bioassay,Chemosphere,2019/01/12
30496566,Tetrabromobisphenol-A Promotes Early Adipogenesis and Lipogenesis in 3T3-L1 Cells,Toxicol Sci,2018/11/30
30196001,Elucidation of endocrine-disrupting polychlorinated biphenyls binding potency with steroidogenic genes: Integration of in silico methods and ensemble docking approaches,Ecotoxicol Environ Saf,2018/09/10
30067244,Investigation of estrogen activity in the raw and treated waters of riverbank infiltration using a yeast estrogen screen and chemical analysis,J Water Health,2018/08/02
30041322,Anthropogenic impact on marine ecosystem health: A comparative multi-proxy investigation of recent sediments in coastal waters,Mar Pollut Bull,2018/07/26
29499249,Biosensing estrogenic endocrine disruptors in human blood and urine: A RAPID cell-free protein synthesis approach,Toxicol Appl Pharmacol,2018/03/03
29395145,Symposium review: Reduction in oocyte developmental competence by stress is associated with alterations in mitochondrial function,J Dairy Sci,2018/02/04
29349513,3D-QSAR study of steroidal and azaheterocyclic human aromatase inhibitors using quantitative profile of protein-ligand interactions,J Cheminform,2018/01/20
29261303,Toxic Effects of Bisphenol S Showing Immunomodulation in Fish Macrophages,Environ Sci Technol,2017/12/21
29207355,Environmental pollution and health hazards from distillery wastewater and treatment approaches to combat the environmental threats: A review,Chemosphere,2017/12/06
29191317,SeaNine 211 as antifouling biocide: A coastal pollutant of emerging concern,J Environ Sci (China),2017/12/02
29176028,Higher phthalate concentrations are associated with precocious puberty in normal weight Thai girls,J Pediatr Endocrinol Metab,2017/11/28
29126168,Endocrine Disruptors and Developmental Origins of Nonalcoholic Fatty Liver Disease,Endocrinology,2017/11/11
28963899,Occurrence of bisphenol S in the environment and implications for human exposure: A short review,Sci Total Environ,2017/10/01
28918339,Interference of dibutylphthalate on human prostate cell viability,Ecotoxicol Environ Saf,2017/09/18
28693900,"Biodegradation of pharmaceuticals and endocrine disruptors with oxygen, nitrate, manganese (IV), iron (III) and sulfate as electron acceptors",J Contam Hydrol,2017/07/12
28672150,Comparative toxicity and endocrine disruption potential of urban and rural atmospheric organic PM(1) in JEG-3 human placental cells,Environ Pollut,2017/07/04
28599595,Polybrominated diphenyl ethers (flame retardants) in mother-infant pairs in the Southeastern U.S,Int J Environ Health Res,2017/06/11
28545729,"Development of fast, efficient and ecological method employing vortex-assisted dispersive liquid-liquid microextraction combined with fast gas chromatography-mass spectrometry for pesticide residues analysis in alcohol-content samples",J Chromatogr A,2017/05/27
28444106,"The Association of Air Pollution With Pubertal Development: Evidence From Hong Kong's ""Children of 1997"" Birth Cohort",Am J Epidemiol,2017/04/27
27988188,"Environmental exposure to DDT and its metabolites in cord serum: Distribution, enantiomeric patterns, and effects on infant birth outcomes",Sci Total Environ,2016/12/19
27855314,Alterations of gene expression indicating effects on estrogen signaling and lipid homeostasis in seabream hepatocytes exposed to extracts of seawater sampled from a coastal area of the central Adriatic Sea (Italy),Mar Environ Res,2016/11/18
31600042,NTP Research Report on Organotin and Total Tin Levels in Danish Women of Reproductive Age: Research Report 2,NTP Research Report on Organotin and Total Tin Levels in Danish Women of Reproductive Age: Research Report 2,2016/07/01
27240715,Oxidation of bisphenol A in water by heat-activated persulfate,J Environ Manage,2016/06/01
27158261,Analysis of steroid hormones and their conjugated forms in water and urine by on-line solid-phase extraction coupled to liquid chromatography tandem mass spectrometry,Chem Cent J,2016/05/10
27073165,A national-scale assessment of micro-organic contaminants in groundwater of England and Wales,Sci Total Environ,2016/04/14
26930576,Effects of Bisphenol A on ion channels: Experimental evidence and molecular mechanisms,Steroids,2016/03/02
26867867,Development and pre-validation of an in vitro transactivation assay for detection of (anti)androgenic potential compounds using 22Rv1/MMTV cells,Reprod Toxicol,2016/02/13
26848924,Novel Bi₁₂O₁₅Cl₆ Photocatalyst for the Degradation of Bisphenol A under Visible-Light Irradiation,ACS Appl Mater Interfaces,2016/02/06
26573854,The thyroid gland and thyroid hormones in sheepshead minnow (Cyprinodon variegatus) during early development and metamorphosis,Fish Physiol Biochem,2015/11/18
26536880,Biochemical and physicochemical processes contributing to the removal of endocrine-disrupting chemicals and pharmaceuticals by the aquatic ascomycete Phoma sp. UHH 5-1-03,Appl Microbiol Biotechnol,2015/11/06
26241068,Stem Cells as Hormone Targets That Lead to Increased Cancer Susceptibility,Endocrinology,2015/08/05
26169826,Evaluation of the reproductive toxicity of fungicide propiconazole in male rats,Toxicology,2015/07/15
26141889,Effects of metal ions on the catalytic degradation of dicofol by cellulase,J Environ Sci (China),2015/07/05
26049153,Bisphenol A exposure inhibits germ cell nest breakdown by reducing apoptosis in cultured neonatal mouse ovaries,Reprod Toxicol,2015/06/07
25871633,Perfluorooctyl Iodide Stimulates Steroidogenesis in H295R Cells via a Cyclic Adenosine Monophosphate Signaling Pathway,Chem Res Toxicol,2015/04/15
25594843,Effect of transpiration on plant accumulation and translocation of PPCP/EDCs,Environ Pollut,2015/01/17
25288538,A toxicity-based method for evaluating safety of reclaimed water for environmental reuses,J Environ Sci (China),2014/10/08
25244153,Characterization of trenbolone acetate and estradiol metabolite excretion profiles in implanted steers,Environ Toxicol Chem,2014/09/23
25159400,Simultaneous determination of endocrine disrupting compounds bisphenol F and bisphenol AF using carboxyl functionalized multi-walled carbon nanotubes modified electrode,Talanta,2014/08/28
24883264,Early Life Origins of Metabolic Syndrome: The Role of Environmental Toxicants,Curr Environ Health Rep,2014/06/03
24882444,Comparative study of 17 β-estradiol on endocrine disruption and biotransformation in fingerlings and juveniles of Japanese sea bass Lateolabrax japonicus,Mar Pollut Bull,2014/06/03
24756343,Environmental endocrine disruption of energy metabolism and cardiovascular risk,Curr Diab Rep,2014/04/24
24681510,Pyruvate carboxylase as a sensitive protein biomarker for exogenous steroid chemicals,Environ Pollut,2014/04/01
24458306,"Spatial and seasonal distribution of 17 endocrine disruptor compounds in an urban estuary (Mondego River, Portugal): evaluation of the estrogenic load of the area",Environ Monit Assess,2014/01/25
24316806,"Removal of emerging contaminants by simultaneous application of membrane ultrafiltration, activated carbon adsorption, and ultrasound irradiation",J Hazard Mater,2013/12/10
24297481,Characterization of the small heat shock protein Hsp27 gene in Chironomus riparius (Diptera) and its expression profile in response to temperature changes and xenobiotic exposures,Cell Stress Chaperones,2013/12/04
24060506,Genotoxic effects of environmental endocrine disruptors on the aquatic insect Chironomus riparius evaluated using the comet assay,Mutat Res Genet Toxicol Environ Mutagen,2013/09/25
23770295,Endocrine disrupting effects in rats perinatally exposed to a dietary relevant mixture of phytoestrogens,Reprod Toxicol,2013/06/18
23695857,Biological response of high-back crucian carp (Carassius auratus) during different life stages to wastewater treatment plant effluent,Environ Sci Pollut Res Int,2013/05/23
23228341,"Organotins: a review of their reproductive toxicity, biochemistry, and environmental fate",Reprod Toxicol,2012/12/12
23190036,"Alternatives to in vivo tests to detect endocrine disrupting chemicals (EDCs) in fish and amphibians--screening for estrogen, androgen and thyroid hormone disruption",Crit Rev Toxicol,2012/11/30
22970591,Determination and assessment of estradiol-mimicking compounds in the dissolved and particulate phases of wastewater treatment plant samples,J AOAC Int,2012/09/14
22510978,Biosensor zebrafish provide new insights into potential health effects of environmental estrogens,Environ Health Perspect,2012/04/19
22444569,Electrochemical detection of a powerful estrogenic endocrine disruptor: ethinylestradiol in water samples through bioseparation procedure,Anal Chim Acta,2012/03/27
22372605,High prevalence of micropenis in 2710 male newborns from an intensive-use pesticide area of Northeastern Brazil,Int J Androl,2012/03/01
22325337,The lack of endocrine disrupting effects in catfish (Clarias gariepinus) from a DDT sprayed area,Ecotoxicol Environ Saf,2012/02/14
22223459,Exposure to 17α-ethinylestradiol decreases motility and ATP in sperm of male fighting fish Betta splendens,Environ Toxicol,2012/01/07
21626298,Racial/ethnic differences in hormonally-active hair product use: a plausible risk factor for health disparities,J Immigr Minor Health,2011/06/01
21561829,Peroxisome proliferator-activated receptor γ is a target for halogenated analogs of bisphenol A,Environ Health Perspect,2011/05/13
21517005,Estrogen-related receptor gamma disruption of source water and drinking water treatment processes extracts,J Environ Sci (China),2011/04/27
21516227,Toxics Use Reduction in the Home: Lessons Learned from Household Exposure Studies,J Clean Prod,2011/04/26
21424011,"Occurrence and behavior of pharmaceuticals, steroid hormones, and endocrine-disrupting personal care products in wastewater and the recipient river water of the Pearl River Delta, South China",J Environ Monit,2011/03/23
21046090,"Determination of pharmaceuticals, steroid hormones, and endocrine-disrupting personal care products in sewage sludge by ultra-high-performance liquid chromatography-tandem mass spectrometry",Anal Bioanal Chem,2010/11/04
20821602,Specific in vitro toxicity of crude and refined petroleum products: II. Estrogen (alpha and beta) and androgen receptor-mediated responses in yeast assays,Environ Toxicol Chem,2010/09/08
20821495,Enantioselective induction of oxidative stress by permethrin in rat adrenal pheochromocytoma (PC12) cells,Environ Toxicol Chem,2010/09/08
20723962,Elimination and fate of selected micro-organic pollutants in a full-scale anaerobic/anoxic/aerobic process combined with membrane bioreactor for municipal wastewater reclamation,Water Res,2010/08/21
20542075,Mixture effects of imidazole fungicides on cortisol and aldosterone secretion in human adrenocortical H295R cells,Toxicology,2010/06/15
20350546,Pre-natal exposure of mice to bisphenol A elicits an endometriosis-like phenotype in female offspring,Gen Comp Endocrinol,2010/03/31
20178801,Amphibian metamorphosis as a model for studying endocrine disruption on vertebrate development: effect of bisphenol A on thyroid hormone action,Gen Comp Endocrinol,2010/02/25
20044124,Screening of chemicals with anti-estrogenic activity using in vitro and in vivo vitellogenin induction responses in zebrafish (Danio rerio),Chemosphere,2010/01/02
19933552,Estrogen and xenoestrogens in breast cancer,Toxicol Pathol,2009/11/26
19736232,Organic contaminants in sewage sludge (biosolids) and their significance for agricultural recycling,Philos Trans A Math Phys Eng Sci,2009/09/09
19685217,"Vitellogenin of the Chilean flounder Paralichthys adspersus as a biomarker of endocrine disruption along the marine coast of the South Pacific. Part I: induction, purification, and identification",Fish Physiol Biochem,2009/08/18
19458313,The bisphenol A experience: a primer for the analysis of environmental effects on mammalian reproduction,Biol Reprod,2009/05/22
19406487,Effects of binary mixtures of estrogen and antiestrogens on Japanese medaka (Oryzias latipes),Aquat Toxicol,2009/05/02
19285792,Photodegradation of bisphenol-A in a batch TiO2 suspension reactor,J Hazard Mater,2009/03/17
19201780,Dioxin-sensitive proteins in differentiating osteoblasts: effects on bone formation in vitro,Toxicol Sci,2009/02/10
19152981,Fate and effects of octylphenol in a Microcystis aeruginosa culture medium,Aquat Toxicol,2009/01/21
